Cell QID,Article QID
Q108625087,Q42972264
Q108625091,Q42972264
Q108625738,Q42972264
Q108625752,Q42972264
Q109650378,Q91969373
Q109650385,Q97903250
Q109662144,Q97903250
Q107446079,Q89808480
Q107446144,Q89808480
Q107446148,Q89808480
Q107446223,Q89808480
Q107446229,Q89808480
Q107452698,Q92826478
Q107558775,Q104450608
Q107559262,Q104450608
Q108625780,Q48659057
Q108625797,Q48659057
Q107559265,Q104450624
Q108625898,Q90284294
Q108611482,Q90348985
Q108611483,Q90348985
Q108611495,Q90348985
Q107550378,Q106535191
Q107550580,Q106535191
Q107446715,Q89748559
Q107446721,Q89748559
Q107446753,Q89748559
Q109235348,Q107332851
Q109235350,Q107332851
Q109259744,Q107332851
Q109259747,Q107332851
Q109259794,Q107332851
Q109282920,Q42144472
Q107297787,Q57804774
Q106410723,Q36368053
Q106410725,Q36368053
Q106410731,Q36368053
Q109650356,Q59770869
Q109650357,Q59770869
Q108662704,Q107128138
Q107550608,Q106272047
Q108662707,Q107158224
Q109922903,Q92817489
Q109922905,Q92817489
Q111415229,Q57025360
Q111415531,Q52374114
Q109922909,Q92204349
Q111583373,Q111441182
Q111583388,Q111441182
Q111416646,Q63979659
Q111416650,Q63979659
Q111583403,Q111524386
Q111583481,Q111524386
Q111583497,Q111524386
Q111583529,Q111524386
Q109805084,Q108923922
Q109922287,Q108923922
Q111416841,Q47321523
Q109922735,Q100899356
Q109922738,Q100899356
Q111416548,Q90761592
Q111416557,Q90761592
Q111416559,Q90761592
Q109662172,Q91523279
Q111451571,Q26771463
Q109922926,Q92614159
Q109922927,Q92614159
Q109923027,Q92614159
Q109922460,Q109361945
Q111481952,Q92856630
Q111482058,Q92856630
Q111729429,Q111601753
Q111729445,Q41309339
Q111394007,Q57025321
Q111248082,Q34519843
Q111248083,Q34519843
Q111416888,Q55118285
Q111729406,Q90009406
Q111729407,Q90009406
Q111416869,Q99637086
Q111416888,Q99637086
Q111416897,Q99637086
Q111393684,Q109755007
Q111393857,Q109755007
Q111393860,Q109755007
Q111393870,Q109755007
Q111393885,Q109755007
Q111416610,Q91024501
Q111416595,Q37320970
Q111416738,Q92668670
Q111416748,Q92668670
Q111416905,Q100753797
Q111416918,Q100753797
Q111416827,Q27321172
Q111416829,Q27321172
Q111416623,Q42380465
Q111416630,Q101050636
Q111729541,Q111652369
Q111729542,Q111652369
Q109746219,Q108840167
Q109746222,Q108840167
Q109746224,Q108840167
Q111416730,Q36765250
Q111729497,Q111649631
Q111729498,Q111649631
Q111729505,Q111649631
Q111416734,Q93052958
Q111416725,Q60300379
Q111416727,Q60300379
Q111482567,Q111441187
Q111482569,Q111441187
Q111482667,Q111441187
Q111729546,Q107363182
Q111416681,Q59794209
Q111416685,Q59794209
Q111416686,Q59794209
Q109922468,Q90754750
Q109922469,Q90754750
Q111482177,Q111441172
Q111482193,Q111441172
Q111482201,Q111441172
Q111583586,Q99571943
Q111451579,Q111245549
Q111451671,Q111245549
Q111451674,Q111245549
Q111416697,Q47122082
Q111416714,Q47122082
Q109922316,Q109264954
Q109922323,Q109264954
Q111393944,Q92017855
Q109922585,Q90572524
Q109922751,Q92382884
Q111416790,Q89474518
Q109922440,Q109361436
Q109922327,Q39281660
Q111416572,Q91891091
Q116185388,Q55118285
Q116185391,Q55118285
Q116185421,Q55118285
Q116185425,Q55118285
Q116185535,Q55118285
Q116185539,Q55118285
Q116254304,Q55118285
Q116254370,Q55118285
Q116254853,Q55118285
Q116259181,Q55118285
Q116267966,Q55118285
Q116267986,Q55118285
Q116267996,Q55118285
Q116268019,Q55118285
Q116268024,Q55118285
Q116278472,Q55118285
Q116314519,Q55118285
Q116314601,Q55118285
Q116314646,Q55118285
Q116314647,Q55118285
Q116314939,Q55118285
Q116342372,Q55118285
Q116342380,Q55118285
Q116342418,Q55118285
Q116342421,Q55118285
Q116342447,Q55118285
Q116342549,Q55118285
Q116342563,Q55118285
Q116342690,Q55118285
Q116343028,Q55118285
Q116446788,Q55118285
Q116446813,Q55118285
Q116446853,Q55118285
Q116446859,Q55118285
Q116446867,Q55118285
Q116446873,Q55118285
Q116446883,Q55118285
Q116446906,Q55118285
Q116446915,Q55118285
Q116446918,Q55118285
Q116447123,Q55118285
Q116447138,Q55118285
Q116447162,Q55118285
Q116447171,Q55118285
Q116447174,Q55118285
Q116447177,Q55118285
Q116447181,Q55118285
Q116447206,Q55118285
Q116447210,Q55118285
Q116447223,Q55118285
Q116447237,Q55118285
Q116447239,Q55118285
Q116447247,Q55118285
Q116447250,Q55118285
Q116447257,Q55118285
Q116447343,Q55118285
Q116458236,Q55118285
Q116458240,Q55118285
Q116458245,Q55118285
Q116458293,Q55118285
Q116458295,Q55118285
Q116486257,Q55118285
Q116486259,Q55118285
Q116486262,Q55118285
Q116486267,Q55118285
Q116527640,Q55118285
Q116527645,Q55118285
Q116527654,Q55118285
Q116527747,Q55118285
Q116529031,Q55118285
Q116529255,Q55118285
Q116529458,Q55118285
Q116529462,Q55118285
Q116529589,Q55118285
Q116530518,Q55118285
Q116530520,Q55118285
Q116530523,Q55118285
Q116530581,Q55118285
Q116530613,Q55118285
Q116530705,Q55118285
Q116530708,Q55118285
Q116530772,Q55118285
Q116530777,Q55118285
Q116530782,Q55118285
Q116530789,Q55118285
Q116530857,Q55118285
Q116530867,Q55118285
Q116530879,Q55118285
Q111416842,Q59326833
Q111415272,Q57025360
Q109922740,Q92303660
Q109922741,Q92303660
Q109593257,Q59066334
Q109593258,Q59066334
Q109593264,Q59066334
Q109908611,Q89720882
Q111416666,Q63979659
Q111416668,Q63979659
Q111451687,Q42004626
Q109805082,Q108923922
Q109922286,Q108923922
Q111416838,Q47321523
Q111416550,Q90761592
Q111416555,Q90761592
Q111415574,Q93151331
Q111415583,Q93151331
Q109662156,Q91523279
Q109662168,Q91523279
Q111451951,Q92856630
Q109282905,Q96690191
Q109282908,Q96690191
Q111394014,Q57025321
Q109922754,Q57814130
Q109593258,Q55118285
Q111415272,Q55118285
Q111416892,Q99637086
Q109923046,Q109755007
Q111393854,Q109755007
Q111393867,Q109755007
Q111393879,Q109755007
Q111416614,Q91024501
Q111416575,Q37320970
Q111416578,Q37320970
Q111416579,Q37320970
Q111451682,Q98206334
Q111416736,Q92668670
Q111416741,Q92668670
Q111416743,Q92668670
Q111416900,Q100753797
Q111416901,Q100753797
Q111416906,Q100753797
Q111416910,Q100753797
Q111451680,Q98778521
Q111416831,Q27321172
Q111393971,Q96017661
Q109922589,Q101212124
Q109746215,Q108840167
Q109746220,Q108840167
Q109746226,Q108840167
Q111416846,Q51415870
Q111415203,Q90798324
Q111416763,Q51767593
Q111415309,Q93137685
Q111415313,Q93137685
Q109282913,Q92669541
Q109282915,Q92669541
Q109282917,Q92669541
Q111416724,Q60300379
Q111416621,Q92548431
Q111482565,Q111441187
Q111482568,Q111441187
Q109282761,Q107363182
Q109746354,Q92185170
Q111482189,Q111441172
Q111482199,Q111441172
Q111482208,Q111441172
Q109922288,Q92932854
Q109650379,Q36433286
Q109650382,Q36433286
Q109650383,Q36433286
Q111451580,Q111245549
Q111451660,Q111245549
Q111451667,Q111245549
Q111451676,Q111245549
Q111416546,Q83232134
Q111416547,Q83232134
Q111416864,Q93063965
Q109922315,Q109264954
Q111393951,Q92017855
Q109922748,Q92382884
Q109650335,Q59770869
Q109650354,Q59770869
Q111416795,Q93039229
Q109922446,Q109361436
Q111416641,Q110477396
Q111416567,Q91891091
Q116343126,Q55118285
Q116446765,Q55118285
Q116446818,Q55118285
Q116446833,Q55118285
Q116446874,Q55118285
Q116446881,Q55118285
Q116446913,Q55118285
Q116447131,Q55118285
Q116447132,Q55118285
Q116447140,Q55118285
Q116447145,Q55118285
Q116447172,Q55118285
Q116447175,Q55118285
Q116447185,Q55118285
Q116447193,Q55118285
Q116447200,Q55118285
Q116447205,Q55118285
Q116447209,Q55118285
Q116447220,Q55118285
Q116447271,Q55118285
Q116447273,Q55118285
Q116447274,Q55118285
Q116447281,Q55118285
Q116447310,Q55118285
Q116447342,Q55118285
Q116458222,Q55118285
Q116458234,Q55118285
Q116458239,Q55118285
Q116458246,Q55118285
Q116458247,Q55118285
Q116458255,Q55118285
Q116458294,Q55118285
Q116458296,Q55118285
Q116458307,Q55118285
Q116486263,Q55118285
Q116527378,Q55118285
Q116527518,Q55118285
Q116527650,Q55118285
Q116528987,Q55118285
Q116528989,Q55118285
Q116529000,Q55118285
Q116529029,Q55118285
Q116529236,Q55118285
Q116529240,Q55118285
Q116529454,Q55118285
Q116529455,Q55118285
Q116529575,Q55118285
Q116529586,Q55118285
Q116529593,Q55118285
Q116530526,Q55118285
Q116530584,Q55118285
Q116530587,Q55118285
Q116530603,Q55118285
Q116530605,Q55118285
Q116530619,Q55118285
Q116530690,Q55118285
Q116530694,Q55118285
Q116530709,Q55118285
Q116530788,Q55118285
Q116530792,Q55118285
Q116530795,Q55118285
Q116530846,Q55118285
Q116530858,Q55118285
Q116530869,Q55118285
Q116530886,Q55118285
Q116530888,Q55118285
Q116530893,Q55118285
Q116531143,Q55118285
Q116531146,Q55118285
Q116531247,Q55118285
Q116531257,Q55118285
Q116532075,Q55118285
Q116532079,Q55118285
Q111416844,Q59326833
Q111451567,Q91558351
Q111729564,Q111686643
Q113044511,Q90872162
Q112184879,Q96952470
Q112184883,Q96952470
Q113044555,Q90110307
Q111583363,Q111441182
Q111583384,Q111441182
Q111583389,Q111441182
Q112117446,Q38722200
Q111729603,Q26823083
Q111583414,Q111524386
Q111583422,Q111524386
Q112117476,Q68270459
Q112117508,Q36108549
Q112117511,Q36108549
Q112117512,Q36108549
Q112117519,Q36108549
Q112117533,Q36108549
Q111451688,Q42004626
Q112117449,Q91960533
Q113044563,Q55006597
Q112943500,Q93115184
Q112943501,Q93115184
Q112943514,Q93115184
Q113044471,Q93115184
Q111482011,Q92856630
Q112117491,Q41946263
Q113044712,Q55118285
Q111804284,Q111729803
Q111416891,Q99637086
Q111416896,Q99637086
Q113044639,Q38251585
Q113044640,Q38251585
Q113044692,Q38251585
Q113044696,Q38251585
Q113044698,Q38251585
Q113044701,Q38251585
Q113044703,Q38251585
Q113046501,Q38251585
Q111416909,Q100753797
Q111416913,Q100753797
Q111416837,Q27321172
Q112184904,Q94550856
Q111729515,Q111652369
Q111729518,Q111652369
Q111729524,Q111652369
Q111729526,Q111652369
Q111729535,Q111652369
Q113044531,Q104492479
Q113044712,Q91321664
Q113044737,Q91321664
Q113044751,Q91321664
Q112117468,Q111985889
Q111416858,Q51415870
Q113044536,Q93137723
Q111729495,Q111649631
Q111729496,Q111649631
Q111729509,Q111649631
Q113407763,Q101045737
Q112943568,Q89748825
Q112117498,Q64888669
Q112117500,Q64888669
Q111416764,Q51767593
Q111508453,Q111482958
Q112184912,Q57489977
Q111729430,Q58765307
Q113141326,Q27321802
Q111482192,Q111441172
Q111482198,Q111441172
Q111482200,Q111441172
Q111482206,Q111441172
Q111416765,Q92163648
Q113044565,Q91662280
Q111451662,Q111245549
Q111451665,Q111245549
Q111451675,Q111245549
Q111451678,Q111245549
Q111451679,Q111245549
Q112117484,Q99607045
Q111804510,Q98725920
Q111804514,Q98725920
Q111416716,Q47122082
Q111416866,Q93063965
Q113141324,Q58547071
Q111804525,Q90781384
Q113044550,Q91989344
Q113044551,Q91989344
Q111416799,Q93039229
Q111416817,Q93039229
Q111416566,Q91891091
Q116531150,Q55118285
Q111415275,Q57025360
Q111415285,Q57025360
Q111415291,Q57025360
Q111416625,Q70906629
Q111415222,Q38699928
Q111415225,Q38699928
Q111415513,Q52374114
Q111415527,Q52374114
Q109922224,Q91960518
Q109922229,Q91960518
Q109922908,Q92204349
Q111393981,Q89720882
Q111416645,Q63979659
Q111416652,Q63979659
Q111416657,Q63979659
Q111416662,Q63979659
Q111416670,Q63979659
Q109316585,Q108923922
Q109805083,Q108923922
Q109805230,Q108923922
Q109805231,Q108923922
Q109922737,Q100899356
Q111416554,Q90761592
Q108853724,Q50001722
Q108853726,Q50001722
Q108853727,Q50001722
Q111416537,Q93151331
Q109923029,Q92614159
Q109923030,Q92614159
Q109922455,Q109361945
Q109922462,Q109361945
Q111415538,Q58840753
Q111415571,Q58840753
Q109282910,Q96690191
Q108651088,Q50420532
Q108651093,Q50420532
Q109922759,Q57814130
Q109922895,Q57814130
Q109923032,Q109755007
Q111393876,Q109755007
Q111393883,Q109755007
Q111393888,Q109755007
Q111416607,Q91024501
Q111416608,Q91024501
Q111416609,Q91024501
Q111416611,Q91024501
Q111416617,Q91024501
Q111416580,Q37320970
Q111416594,Q37320970
Q110866541,Q55118285
Q109922730,Q58605173
Q108625743,Q42972264
Q108625772,Q93040438
Q108625774,Q93040438
Q109662148,Q97903250
Q109662151,Q97903250
Q109922587,Q101212124
Q111416631,Q101050636
Q108662897,Q94473592
Q109746352,Q91987032
Q111415200,Q90798324
Q111416687,Q59336232
Q108651100,Q91763038
Q108625788,Q48659057
Q109282912,Q92669541
Q111416619,Q92548431
Q109922463,Q60341043
Q107559267,Q104450624
Q111416684,Q59794209
Q111415484,Q34492731
Q111415492,Q34492731
Q108611477,Q90348985
Q108611485,Q90348985
Q111416694,Q47122082
Q108611500,Q91763046
Q109922319,Q109264954
Q109922322,Q109264954
Q111393961,Q92017855
Q111415495,Q98614795
Q111416634,Q101127596
Q109259735,Q107332851
Q109259756,Q107332851
Q109259779,Q107332851
Q109922584,Q90572524
Q109922747,Q92382884
Q109650336,Q59770869
Q109650359,Q59770869
Q109650362,Q59770869
Q108662706,Q107128138
Q108611472,Q106272048
Q111416642,Q110477396
Q109922326,Q39281660
Q113661772,Q34670376
Q116185053,Q55118285
Q116185212,Q55118285
Q116185323,Q55118285
Q116185326,Q55118285
Q116185330,Q55118285
Q116185395,Q55118285
Q116185428,Q55118285
Q116185431,Q55118285
Q116254199,Q55118285
Q116254307,Q55118285
Q116254320,Q55118285
Q116254374,Q55118285
Q116254693,Q55118285
Q116254857,Q55118285
Q116268008,Q55118285
Q116314485,Q55118285
Q116314518,Q55118285
Q116314605,Q55118285
Q116314607,Q55118285
Q116314856,Q55118285
Q116315413,Q55118285
Q116342374,Q55118285
Q116342419,Q55118285
Q116342430,Q55118285
Q116342519,Q55118285
Q116342582,Q55118285
Q116342584,Q55118285
Q116342683,Q55118285
Q116342689,Q55118285
Q116342906,Q55118285
Q116342938,Q55118285
Q116342941,Q55118285
Q116343093,Q55118285
Q116343107,Q55118285
Q116343127,Q55118285
Q116446766,Q55118285
Q116446816,Q55118285
Q116446817,Q55118285
Q116446819,Q55118285
Q116446821,Q55118285
Q116446822,Q55118285
Q116446828,Q55118285
Q116446868,Q55118285
Q116446884,Q55118285
Q116446914,Q55118285
Q116447139,Q55118285
Q116447147,Q55118285
Q116447155,Q55118285
Q116447157,Q55118285
Q116447170,Q55118285
Q116447173,Q55118285
Q116447176,Q55118285
Q116447189,Q55118285
Q116447202,Q55118285
Q116447240,Q55118285
Q116447287,Q55118285
Q116458235,Q55118285
Q116458238,Q55118285
Q116458244,Q55118285
Q116458258,Q55118285
Q116458301,Q55118285
Q116486261,Q55118285
Q116527652,Q55118285
Q116527653,Q55118285
Q116529026,Q55118285
Q116529027,Q55118285
Q116529234,Q55118285
Q116529244,Q55118285
Q116529456,Q55118285
Q116529461,Q55118285
Q116529579,Q55118285
Q116529597,Q55118285
Q116530524,Q55118285
Q116530599,Q55118285
Q113407766,Q101045737
Q113407767,Q101045737
Q5262669,Q55118285
Q116342554,Q55118285
Q116342569,Q55118285
Q116342630,Q55118285
Q116342687,Q55118285
Q116342939,Q55118285
Q116343024,Q55118285
Q116343125,Q55118285
Q116446767,Q55118285
Q116446789,Q55118285
Q116446806,Q55118285
Q116446809,Q55118285
Q116446830,Q55118285
Q116446832,Q55118285
Q116446843,Q55118285
Q116446865,Q55118285
Q116446882,Q55118285
Q116446908,Q55118285
Q116447126,Q55118285
Q116447182,Q55118285
Q116447183,Q55118285
Q116447186,Q55118285
Q116447224,Q55118285
Q116447270,Q55118285
Q116447272,Q55118285
Q116447279,Q55118285
Q116447282,Q55118285
Q116447285,Q55118285
Q116447306,Q55118285
Q116447307,Q55118285
Q116458253,Q55118285
Q116458254,Q55118285
Q116458299,Q55118285
Q116458303,Q55118285
Q116486258,Q55118285
Q116486260,Q55118285
Q116486264,Q55118285
Q116527531,Q55118285
Q116527661,Q55118285
Q116528993,Q55118285
Q116528997,Q55118285
Q116529015,Q55118285
Q116529023,Q55118285
Q116529577,Q55118285
Q116529580,Q55118285
Q116529584,Q55118285
Q116530521,Q55118285
Q116530583,Q55118285
Q116530602,Q55118285
Q116530606,Q55118285
Q116530612,Q55118285
Q116530623,Q55118285
Q116530684,Q55118285
Q116530774,Q55118285
Q116530775,Q55118285
Q116530778,Q55118285
Q116530849,Q55118285
Q116530850,Q55118285
Q116530854,Q55118285
Q116530872,Q55118285
Q116530877,Q55118285
Q116530883,Q55118285
Q116531137,Q55118285
Q116531142,Q55118285
Q116531149,Q55118285
Q116531250,Q55118285
Q116531258,Q55118285
Q116531260,Q55118285
Q116532064,Q55118285
Q116532069,Q55118285
Q116532074,Q55118285
Q1777753,Q55118285
Q106410699,Q106234628
Q106410700,Q106234628
Q113044507,Q90872162
Q113044513,Q90872162
Q112184876,Q96952470
Q112184889,Q96952470
Q112184901,Q96952470
Q111804519,Q111749843
Q111804520,Q111749843
Q111804521,Q111749843
Q112117471,Q68270459
Q112117513,Q36108549
Q112117525,Q36108549
Q112117528,Q36108549
Q112117531,Q36108549
Q112117532,Q36108549
Q112117423,Q40736991
Q106303261,Q26862512
Q106517062,Q106248504
Q106602131,Q106248504
Q106517168,Q98166912
Q106634209,Q98166912
Q106634214,Q98166912
Q113044561,Q55006597
Q112943498,Q93115184
Q112943506,Q93115184
Q112943587,Q93115184
Q113044461,Q93115184
Q113044464,Q93115184
Q113044470,Q93115184
Q105665529,Q28288068
Q105665551,Q28288068
Q101062623,Q55118285
Q106443855,Q37320970
Q113044526,Q104492479
Q113044530,Q104492479
Q113044560,Q89748825
Q112184910,Q57489977
Q112184911,Q57489977
Q106399423,Q83224730
Q111804516,Q98725920
Q111804518,Q98725920
Q113044549,Q91989344
Q106586927,Q60128972
Q112184907,Q98718297
Q71309274,Q71306466
Q71311232,Q71306466
Q71311857,Q71306466
Q71314038,Q71306466
Q71314953,Q71306466
Q71315004,Q71306466
Q71315023,Q71306466
Q71315038,Q71306466
Q71315565,Q71306466
Q96413132,Q52374114
Q113044504,Q90872162
Q66599477,Q96952470
Q112184874,Q96952470
Q112184877,Q96952470
Q112184894,Q96952470
Q112184895,Q96952470
Q112184900,Q96952470
Q111583375,Q111441182
Q111583381,Q111441182
Q111583382,Q111441182
Q111583393,Q111441182
Q111583395,Q111441182
Q111729602,Q26823083
Q111583401,Q111524386
Q111583416,Q111524386
Q111583418,Q111524386
Q111583420,Q111524386
Q111583485,Q111524386
Q111583530,Q111524386
Q112117517,Q36108549
Q112117518,Q36108549
Q112117523,Q36108549
Q112117529,Q36108549
Q112117534,Q36108549
Q112117424,Q40736991
Q112117426,Q40736991
Q112117428,Q40736991
Q112117451,Q91960533
Q112943507,Q93115184
Q112943515,Q93115184
Q113044462,Q93115184
Q113044469,Q93115184
Q111804299,Q92166143
Q111729427,Q111601753
Q111804308,Q61800365
Q111804311,Q61800365
Q111804496,Q61800365
Q111804497,Q61800365
Q111804498,Q61800365
Q111804502,Q61800365
Q111803489,Q92705278
Q111803499,Q92705278
Q66602565,Q55118285
Q93752011,Q55118285
Q111804283,Q111729803
Q113044652,Q38251585
Q113044699,Q38251585
Q113046539,Q38251585
Q114095447,Q38004897
Q111729521,Q111652369
Q111729539,Q111652369
Q113044528,Q104492479
Q113044742,Q91321664
Q113044743,Q91321664
Q113044746,Q91321664
Q113044752,Q91321664
Q112117463,Q111985889
Q112117465,Q111985889
Q111729490,Q111649631
Q111729499,Q111649631
Q113044595,Q89748825
Q112117441,Q36352374
Q111729557,Q107363182
Q111583582,Q99571943
Q113044577,Q91662280
Q112117483,Q99607045
Q111729425,Q59806190
Q113044762,Q42776260
Q113044503,Q47311078
Q111804302,Q90170517
Q111804287,Q52687688
Q112184905,Q98718297
Q7697784,Q55118285
Q111729591,Q26823083
Q111729592,Q26823083
Q111729597,Q26823083
Q111804309,Q61800365
Q111804313,Q61800365
Q111804493,Q61800365
Q111804494,Q61800365
Q111803488,Q111722922
Q111804503,Q91891499
Q111804505,Q91891499
Q111804508,Q98725920
Q111804515,Q98725920
Q111804305,Q90170517
Q111451738,Q57149117
Q111451566,Q91558351
Q111415282,Q57025360
Q111393977,Q89720882
Q111583365,Q111441182
Q111583370,Q111441182
Q111583379,Q111441182
Q111583383,Q111441182
Q111583390,Q111441182
Q111583391,Q111441182
Q111583398,Q111441182
Q111416644,Q63979659
Q111416654,Q63979659
Q111583409,Q111524386
Q111583520,Q111524386
Q111416552,Q90761592
Q111415580,Q93151331
Q111416539,Q93151331
Q111451570,Q26771463
Q111451573,Q26771463
Q111451941,Q92856630
Q111219005,Q34519843
Q109923047,Q109755007
Q109923048,Q109755007
Q109923168,Q109755007
Q109923172,Q109755007
Q111393850,Q109755007
Q111393873,Q109755007
Q111393906,Q109755007
Q111393909,Q109755007
Q111416577,Q37320970
Q111416588,Q37320970
Q111416593,Q37320970
Q111416601,Q37320970
Q111416739,Q92668670
Q111416742,Q92668670
Q111416747,Q92668670
Q111416902,Q100753797
Q111416907,Q100753797
Q111416908,Q100753797
Q111416917,Q100753797
Q111416920,Q100753797
Q111416835,Q27321172
Q111393967,Q96017661
Q111729513,Q111652369
Q111729530,Q111652369
Q111729533,Q111652369
Q111416729,Q36765250
Q111729500,Q111649631
Q111729503,Q111649631
Q111729504,Q111649631
Q111729511,Q111649631
Q111508451,Q111508402
Q111415206,Q90798324
Q111416762,Q51767593
Q111416602,Q91662287
Q111729544,Q107363182
Q111729545,Q107363182
Q111729556,Q107363182
Q111415488,Q34492731
Q111482188,Q111441172
Q111583590,Q99571943
Q111416755,Q90950243
Q111451670,Q111245549
Q111416540,Q83232134
Q111416545,Q83232134
Q111416860,Q93063965
Q111393957,Q92017855
Q111416637,Q101127596
Q111416638,Q101127596
Q111416640,Q110477396
Q111729412,Q94948254
Q111416574,Q91891091
Q107446532,Q58793343
Q107446898,Q70906629
Q107550672,Q104130336
Q107446686,Q33664675
Q114095446,Q112648283
Q107550290,Q106534301
Q108625757,Q47095124
Q108625762,Q47095124
Q108625765,Q47095124
Q107550606,Q95602396
Q113407758,Q92055634
Q113407759,Q92055634
Q113407762,Q92055634
Q116185054,Q55118285
Q116185393,Q55118285
Q116185424,Q55118285
Q116254315,Q55118285
Q116254317,Q55118285
Q116254855,Q55118285
Q116259180,Q55118285
Q116267973,Q55118285
Q116267974,Q55118285
Q116267992,Q55118285
Q116267994,Q55118285
Q116268000,Q55118285
Q116268001,Q55118285
Q116268023,Q55118285
Q116278443,Q55118285
Q116314611,Q55118285
Q116314618,Q55118285
Q116315479,Q55118285
Q116315683,Q55118285
Q116315915,Q55118285
Q116342373,Q55118285
Q116342386,Q55118285
Q116342504,Q55118285
Q116342521,Q55118285
Q107369430,Q104552382
Q113044625,Q38251585
Q113044636,Q38251585
Q113044638,Q38251585
Q113044657,Q38251585
Q113044658,Q38251585
Q113044706,Q38251585
Q113046492,Q38251585
Q107550685,Q106642644
Q107550690,Q106642644
Q108625769,Q93040438
Q113044720,Q91321664
Q113044721,Q91321664
Q113044735,Q91321664
Q113044736,Q91321664
Q113044744,Q91321664
Q107550350,Q106534414
Q107446146,Q89808480
Q107446222,Q89808480
Q107446247,Q89808480
Q107452697,Q92826478
Q107559260,Q104450608
Q113044596,Q89748825
Q113044597,Q89748825
Q107301411,Q106354969
Q107301415,Q106354969
Q107301425,Q106354969
Q113661767,Q56529283
Q113661768,Q56529283
Q107446909,Q92766837
Q107446918,Q92766837
Q113044580,Q91662280
Q108611479,Q90348985
Q107550379,Q109264954
Q107550371,Q106535191
Q107550379,Q106535191
Q107550380,Q106535191
Q107550581,Q106535191
Q107550614,Q102206138
Q107297715,Q57804774
Q113141327,Q52350169
Q108601039,Q106272047
Q108601042,Q106272047
Q108601043,Q106272047
Q107550695,Q99604056
Q109922744,Q92303660
Q109922746,Q92303660
Q109922226,Q91960518
Q109922228,Q91960518
Q109593260,Q59066334
Q109593261,Q59066334
Q109593263,Q59066334
Q109805074,Q108923922
Q109805076,Q108923922
Q109805228,Q108923922
Q109805229,Q108923922
Q108933022,Q50001722
Q109923028,Q92614159
Q109923031,Q92614159
Q109922457,Q109361945
Q109922458,Q109361945
Q109922459,Q109361945
Q109282902,Q96690191
Q109282906,Q96690191
Q109922289,Q57173237
Q108651089,Q50420532
Q108651095,Q50420532
Q109922756,Q57814130
Q109593260,Q55118285
Q109593261,Q55118285
Q109923043,Q109755007
Q109923044,Q109755007
Q109923045,Q109755007
Q109922728,Q58605173
Q109650377,Q91969373
Q109662146,Q97903250
Q109662147,Q97903250
Q109662152,Q97903250
Q109922900,Q98388185
Q109922901,Q98388185
Q109746361,Q89748873
